,1_3m,2_3m,3_3m,6_3m,7_3m,8_3m,10_3m,12_3m,13_3m,14_4m,15_3m,16_4m
C20H32O9S1,11.7201369,10.55271874,9.439332865,8.532224207,9.030234141,8.730296574,9.275947742,8.851339174,9.481999986,7.560369497,9.331986685,9.101967975
C22H28O8N2,8.175844826,8.907183047,9.694564942,10.51351741,9.275245969,10.23101406,10.32637546,8.707189822,7.019080451,9.68470567,9.311866626,7.889209894
C20H32O11,6.026222124,7.147309559,8.459579516,7.522353962,7.920979778,8.742618358,8.068808023,6.707105952,8.007068083,7.800387689,8.340996436,8.452226081
C24H32O8,36.79125463,39.17271197,39.90510808,36.87724005,37.56889329,40.36850537,39.12556826,36.04570418,38.44145444,37.18948426,39.3032593,37.77015709
C25H36O7,11.1251222,10.21435349,10.64963328,9.614006565,10.2284494,11.58187431,10.03836843,9.087597279,12.62908109,9.474181396,11.22344002,10.20155089
C20H19O11N1,11.1205838,9.361609244,9.796273849,8.492273941,7.897675753,8.88854208,8.35843097,7.343927299,8.079695594,7.73322092,8.317702068,8.736110024
C19H19O10N3,5.965250496,6.55338253,7.119097539,5.75525166,6.382306972,7.102467341,6.928215462,5.583092935,6.213391604,6.665792965,5.978557374,5.923978446
C21H23O10N1,19.8578497,21.41652724,22.36845265,19.78982319,21.13662411,21.23506467,21.78808207,17.17017966,17.10840245,19.38233356,20.1207609,19.23641582
C20H23O9N3,14.1898051,15.72436214,18.33965053,16.31880263,14.64217758,17.46993373,18.13135875,13.62648699,12.9653046,15.4115774,15.00314454,14.99690147
C22H27O9N1,15.08352778,14.74167966,18.08716957,17.23839433,17.04529777,17.2482178,18.46174029,14.4553553,13.44219873,17.17589656,16.40831455,15.5878522
C21H27O8N3,8.016110034,10.48337082,10.48788222,10.51203729,8.798860575,9.912986332,10.34635181,8.609260547,7.502214528,11.00080056,8.800639964,9.256510207
C23H31O8N1,6.353330746,6.401207005,7.274174493,5.681703492,5.306632038,6.876659526,7.312262975,5.125632466,5.388413039,7.051100313,6.293816927,6.137148907
C20H18O12,28.61645943,24.18552653,21.94598269,19.73650283,21.56642931,22.98025509,23.27920832,23.94540939,28.5982102,22.41851702,23.99772929,23.02334722
C17H22O12S1,7.962191194,5.331379982,8.178617864,5.170247827,5.521619859,8.654683806,7.20655798,5.995691189,6.633136759,6.571271589,7.365472448,7.68082774
C19H18O11N2,6.128897251,6.027451452,5.730599664,4.938680782,4.316708375,5.31862149,4.978638988,4.492125122,5.503293608,5.177507673,4.277632166,4.396822179
C21H22O11,73.55631696,72.94287857,78.38217082,74.30980473,79.30828924,81.04214029,79.47137803,71.24274207,73.26080043,78.03442144,76.89767441,76.64940408
C18H26O11S1,18.87495285,16.75975775,18.37824791,17.37902319,18.5994648,19.56413175,18.73866543,15.35245492,16.13873283,17.58034669,20.05053147,18.31343465
C20H22O10N2,21.86185007,23.67874103,26.87496415,23.88301151,23.06335071,26.57294722,26.351434,20.82216007,20.0383605,25.11342223,22.93128924,23.28207801
C22H26O10,111.4311046,123.5358203,138.0128584,130.4882052,137.2783778,138.2951623,138.4307972,115.1445336,116.2412031,127.6878688,130.0323727,130.346023
C19H30O10S1,13.22337605,11.31790349,10.53471218,11.63579294,12.92060669,12.26585761,11.94760959,12.1811545,10.54485035,11.56947598,12.32045399,11.33970297
C21H26O9N2,18.77618164,22.60953416,24.57514846,23.96327452,25.21139344,24.99627815,25.22759905,19.37666042,18.47288394,22.27536923,22.5489852,21.94143388
C23H30O9,85.48509997,95.62503721,100.8205364,96.1391366,101.4599151,104.4295034,102.083798,88.92519034,88.56956351,96.79764385,97.86449466,100.428342
C22H30O8N2,4.555506309,6.704226457,6.691164878,5.952755459,5.285024192,5.921185487,5.680358513,4.543196938,3.927770834,4.802773519,5.429621364,5.164188752
C24H34O8,31.13770951,32.66509036,33.92264187,33.86807184,32.70938797,35.5895739,33.5237219,31.08087613,33.91847404,33.24865892,34.42079726,33.73682491
C25H38O7,6.225357334,5.74163714,4.993754648,5.984534433,5.001429618,6.287650795,6.019218127,6.082813296,7.427989448,5.699682631,6.438232834,7.054636191
C20H21O11N1,20.77076299,20.17461712,22.08338711,18.68335552,19.35148338,21.18615244,19.96436963,17.44280577,16.21137802,19.57226658,19.39342087,18.36654172
C19H21O10N3,9.074833412,9.114755276,10.45804071,7.651659427,8.146465062,10.97061279,9.595647929,7.782733549,8.470482102,9.740112909,8.91504936,8.524810814
C21H25O10N1,25.54039606,28.07320323,31.22778833,29.62142911,30.92402764,30.95825925,31.75625925,24.91460373,25.01673268,29.18125954,28.57898161,27.95102834
C20H25O9N3,12.34161147,12.98061566,15.96609071,12.97858235,13.37056037,14.43602025,15.3137014,13.32251667,11.45456887,13.96352678,13.73587971,14.30343604
C22H29O9N1,14.59001973,16.40766385,17.47278074,17.09833532,17.15311904,17.03918052,16.77357362,14.00323047,13.07237516,16.46052154,16.16390178,15.65585176
C19H16O13,12.06896373,8.951139332,7.325454747,6.414576786,6.394668594,7.778424241,7.984906251,8.295427401,10.01402598,7.510719175,8.584903223,7.66649799
C20H20O12,58.03424615,51.17578443,57.61277497,50.44774518,52.56567225,59.74095981,56.18169379,53.08013681,56.21393289,57.13258674,57.33977898,56.28128544
C17H24O12S1,6.98536871,6.180772226,6.657196023,5.376287847,5.034534607,6.928505346,6.999433903,5.009006935,7.365991768,6.67699428,7.285385216,6.691887661
C19H20O11N2,12.96033796,12.59141584,13.84207983,10.88544962,10.9240098,13.83261873,12.25297882,10.02323709,10.38629109,10.96566897,11.75408016,11.11662644
C21H24O11,136.718976,143.1899104,162.0323456,150.632551,161.5247241,164.3106541,165.132376,137.7604472,136.2991373,153.2561285,150.369093,152.1731462
C18H28O11S1,11.16820606,10.10843682,10.48840819,10.43903774,10.88541886,10.02848451,10.74511496,10.57982242,10.30379717,10.06246426,10.34892079,10.65210754
C20H24O10N2,26.11444705,28.03011531,35.30616817,30.95251142,32.07209009,34.80158119,32.976316,27.21317075,24.37303797,31.80058261,29.53831228,30.5266767
C22H28O10,150.4916244,167.4666057,188.5543869,175.3243058,191.8120242,189.3732345,188.1288063,157.7493085,152.8151991,176.0953631,175.8834165,181.4793135
